id,default_code,list_price,sale_delay,weight,uom_po_id/id,uom_id/id,medical_device,cnk_code,web_published,barcode,tracking,taxes_id/id,supplier_taxes_id/id,categ_id/id,state_id/id,unit_in_shrink_wrap,unit_in_box,unit_in_pallet,storage_temperature_id/id,route_ids/id,active,name,price_category_id/id
__import__.product_PFIZER01,PFIZER01,0,0,0,product.product_uom_unit,product.product_uom_unit,,,False,,none,l10n_be.1_attn_VAT-OUT-21-L,l10n_be.1_attn_VAT-IN-V81-21,specific_data.product_categ_divers_veto,specific_purchase.product_state_l,0,0,0,specific_product.product_storage_temperature_ambient,purchase.route_warehouse0_buy,False,KIT INSTALLATION,
__import__.product_T_7420040,T_7420040,50.00,0,0,__setup__.product_uom_boite,product.product_uom_unit,,,False,,lot,l10n_be.1_attn_VAT-OUT-21-L,l10n_be.1_attn_VAT-IN-V81-21,specific_data.product_categ_mat_conso,specific_purchase.product_state_l,,,,,purchase.route_warehouse0_buy,False,T_INDEXEL BTE DE 10x1 TRANSPONDEURS,specific_product.product_price_category_alh
__import__.product_T320612,T320612,100.56,0,2.780,product.product_uom_unit,product.product_uom_unit,,,False,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_undefined,,,,,,purchase.route_warehouse0_buy,False,SOLUBENOL 5x500GR,
__import__.product_T455146,T455146,50.00,0,0.340,product.product_uom_unit,product.product_uom_unit,,,False,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_undefined,,,,,,purchase.route_warehouse0_buy,False,FLUBENOL 5% 2KG,
__import__.product_T553204,T553204,50.00,0,0.010,product.product_uom_unit,product.product_uom_unit,,,False,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antimicrobiens,,,,,,purchase.route_warehouse0_buy,False,XEDEN  50MG  10CP CHIEN,
__import__.product_T600832,T600832,50.00,0,0,product.product_uom_unit,product.product_uom_unit,,,False,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,,,,,,"stock.route_warehouse0_mto,purchase.route_warehouse0_buy",False,SORCHOL 250ML,
__import__.product_T600874,T600874,50.00,0,0.110,product.product_uom_unit,product.product_uom_unit,,,False,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antimicrobiens,,,,,,purchase.route_warehouse0_buy,False,EMDOCOLIN 3MIO U.I. 20CPR.,
__import__.product_T604965,T604965,50.00,0,0.030,product.product_uom_unit,product.product_uom_unit,,,False,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,,,,,,purchase.route_warehouse0_buy,False,"LOXICOM 1,5MG/ml  10ml CHIENS",
__import__.product_T620004,T620004,50.00,0,0.030,product.product_uom_unit,product.product_uom_unit,,,False,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_undefined,,,,,,purchase.route_warehouse0_buy,False,"COMFORTIS 1040MG 14,8/23,1KG 6CP",
__import__.product_T660074,T660074,50.00,0,0.290,product.product_uom_unit,product.product_uom_unit,,,False,,lot,l10n_be.1_attn_VAT-OUT-06-L,l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antimicrobiens,,,,,,purchase.route_warehouse0_buy,False,CEFENIL 4GR+SOLVANT,
