id,active,call_name
__import__.customer_3997,False,BL ULB HORMONOLOGIE
__import__.customer_5011,False,BL ULB ANATOMIE
__import__.customer_5334,False,BL PHBELG REA ANVERS
__import__.customer_6515,False,BL VOLKAERTMARC
__import__.customer_6814,False,BL GANDARFREDERIC*
__import__.customer_6893,False,BL KUL-HARTENVAATZIEKTEN
__import__.customer_7140,False,BL KUL-REUMATOLOGIE
__import__.customer_7259,False,BL BIOLOGIE-URBE
__import__.customer_7621,False,BL URVI-FUNDP
__import__.customer_7807,False,BL GANSERPHARMABELMEDIS
__import__.customer_7931,False,BL VAK VOORTPLANTING
__import__.customer_7952,False,BL VAK LABO&GENEESMIDDELENDEPO
__import__.customer_8300,False,BL LANUPRO
__import__.customer_8832,False,BL VAK FAMACO&TOXICO
